engine;dev;jobs;targetiops;prociops;polling;terse_version_3;fio_version;jobname;groupid;error;read_kb;read_bandwidth;read_iops;read_runtime_ms;read_slat_min;read_slat_max;read_slat_mean;read_slat_dev;read_clat_min;read_clat_max;read_clat_mean;read_clat_dev;read_clat_pct01;read_clat_pct02;read_clat_pct03;read_clat_pct04;read_clat_pct05;read_clat_pct06;read_clat_pct07;read_clat_pct08;read_clat_pct09;read_clat_pct10;read_clat_pct11;read_clat_pct12;read_clat_pct13;read_clat_pct14;read_clat_pct15;read_clat_pct16;read_clat_pct17;read_clat_pct18;read_clat_pct19;read_clat_pct20;read_tlat_min;read_lat_max;read_lat_mean;read_lat_dev;read_bw_min;read_bw_max;read_bw_agg_pct;read_bw_mean;read_bw_dev;write_kb;write_bandwidth;write_iops;write_runtime_ms;write_slat_min;write_slat_max;write_slat_mean;write_slat_dev;write_clat_min;write_clat_max;write_clat_mean;write_clat_dev;write_clat_pct01;write_clat_pct02;write_clat_pct03;write_clat_pct04;write_clat_pct05;write_clat_pct06;write_clat_pct07;write_clat_pct08;write_clat_pct09;write_clat_pct10;write_clat_pct11;write_clat_pct12;write_clat_pct13;write_clat_pct14;write_clat_pct15;write_clat_pct16;write_clat_pct17;write_clat_pct18;write_clat_pct19;write_clat_pct20;write_tlat_min;write_lat_max;write_lat_mean;write_lat_dev;write_bw_min;write_bw_max;write_bw_agg_pct;write_bw_mean;write_bw_dev;cpu_user;cpu_sys;cpu_csw;cpu_mjf;cpu_minf;iodepth_1;iodepth_2;iodepth_4;iodepth_8;iodepth_16;iodepth_32;iodepth_64;lat_2us;lat_4us;lat_10us;lat_20us;lat_50us;lat_100us;lat_250us;lat_500us;lat_750us;lat_1000us;lat_2ms;lat_4ms;lat_10ms;lat_20ms;lat_50ms;lat_100ms;lat_250ms;lat_500ms;lat_750ms;lat_1000ms;lat_2000ms;lat_over_2000ms;disk_name;disk_read_iops;disk_write_iops;disk_read_merges;disk_write_merges;disk_read_ticks;write_ticks;disk_queue_time;disk_util
io_uring;/dev/nvme0n1;1;500000;500000;0;3;fio-3.19-12-g0f69;run;0;0;120000012;1999966;499991;60001;1;137;1.134881;0.359082;10;688;28.350165;16.096282;1.000000%=13;5.000000%=14;10.000000%=15;20.000000%=16;30.000000%=19;40.000000%=21;50.000000%=24;60.000000%=27;70.000000%=31;80.000000%=35;90.000000%=45;95.000000%=56;99.000000%=93;99.500000%=110;99.900000%=146;99.950000%=168;99.990000%=259;0%=0;0%=0;0%=0;11;690;29.514305;16.151433;2002056;2002805;100.000000%;2002419.605042;127.399493;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;35.748333%;64.246667%;302;0;0;3.5%;6.9%;13.8%;27.6%;39.1%;8.4%;0.7%;0.00%;0.00%;0.00%;33.83%;58.85%;6.56%;0.75%;0.01%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;44982771;0;0;0;1145916;0;0;99.97%
io_uring;/dev/nvme0n1;1;500000;500000;1;3;fio-3.19-12-g0f69;run;0;0;119999980;1999966;499991;60001;1;141;1.143026;0.350909;10;667;28.396374;16.196585;1.000000%=13;5.000000%=14;10.000000%=15;20.000000%=16;30.000000%=19;40.000000%=21;50.000000%=24;60.000000%=27;70.000000%=31;80.000000%=35;90.000000%=45;95.000000%=56;99.000000%=93;99.500000%=110;99.900000%=144;99.950000%=168;99.990000%=284;0%=0;0%=0;0%=0;11;668;29.568159;16.250337;2000148;2002992;100.000000%;2002364.537815;260.999863;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;36.148333%;63.845000%;282;0;0;3.5%;6.9%;13.8%;27.6%;39.2%;8.3%;0.7%;0.00%;0.00%;0.00%;33.76%;58.82%;6.66%;0.75%;0.01%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;44984320;0;0;0;1146999;0;0;99.97%
io_uring;/dev/nvme0n1;1;500000;500000;2;3;fio-3.19-12-g0f69;run;0;0;119999864;1999964;499991;60001;0;0;0.000000;0.000000;9;158;44.264827;16.075061;1.000000%=13;5.000000%=25;10.000000%=26;20.000000%=29;30.000000%=32;40.000000%=36;50.000000%=41;60.000000%=47;70.000000%=53;80.000000%=59;90.000000%=66;95.000000%=72;99.000000%=85;99.500000%=90;99.900000%=101;99.950000%=105;99.990000%=116;0%=0;0%=0;0%=0;9;158;44.300614;16.074436;2001320;2002584;100.000000%;2002382.722689;148.946978;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;100.003333%;0.000000%;22;0;0;2.5%;5.0%;10.1%;20.1%;40.3%;22.0%;0.1%;0.00%;0.00%;0.01%;1.87%;62.62%;35.38%;0.13%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;44978097;0;6527;0;1547997;0;0;99.97%
io_uring;/dev/nvme0n1;1;400000;400000;0;3;fio-3.19-12-g0f69;run;0;0;95999992;1599973;399993;60001;1;31;1.199656;0.364587;7;230;13.020786;6.252781;1.000000%=8;5.000000%=9;10.000000%=9;20.000000%=9;30.000000%=10;40.000000%=10;50.000000%=11;60.000000%=11;70.000000%=12;80.000000%=14;90.000000%=17;95.000000%=25;99.000000%=42;99.500000%=48;99.900000%=64;99.950000%=75;99.990000%=97;0%=0;0%=0;0%=0;8;249;14.249078;6.282468;1601120;1602224;100.000000%;1601909.067227;137.095088;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;36.205000%;63.796667%;196;0;0;8.7%;17.5%;34.9%;34.5%;4.1%;0.3%;0.1%;0.00%;0.00%;21.97%;70.43%;7.13%;0.46%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;35986579;0;0;0;442431;0;0;99.97%
io_uring;/dev/nvme0n1;1;400000;400000;1;3;fio-3.19-12-g0f69;run;0;0;95999996;1599973;399993;60001;1;26;1.209179;0.347721;7;1818;13.142778;9.789786;1.000000%=8;5.000000%=9;10.000000%=9;20.000000%=9;30.000000%=10;40.000000%=10;50.000000%=11;60.000000%=11;70.000000%=12;80.000000%=14;90.000000%=17;95.000000%=25;99.000000%=42;99.500000%=49;99.900000%=66;99.950000%=77;99.990000%=111;0%=0;0%=0;0%=0;8;1820;14.381652;9.808066;1599919;1602152;100.000000%;1601909.840336;244.197856;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;36.163333%;63.835000%;234;0;0;8.7%;17.4%;34.7%;34.7%;4.1%;0.3%;0.1%;0.00%;0.00%;22.21%;70.06%;7.24%;0.48%;0.01%;0.01%;0.01%;0.01%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;35988124;0;0;0;445274;0;0;99.97%
io_uring;/dev/nvme0n1;1;400000;400000;2;3;fio-3.19-12-g0f69;run;0;0;95999996;1599973;399993;60001;0;0;0.000000;0.000000;7;164;18.119748;6.482351;1.000000%=9;5.000000%=9;10.000000%=10;20.000000%=12;30.000000%=13;40.000000%=15;50.000000%=17;60.000000%=19;70.000000%=20;80.000000%=22;90.000000%=25;95.000000%=29;99.000000%=39;99.500000%=43;99.900000%=54;99.950000%=57;99.990000%=67;0%=0;0%=0;0%=0;8;165;18.156835;6.480735;1601184;1602080;100.000000%;1601894.789916;139.195319;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;99.996667%;0.000000%;220;0;0;8.5%;17.0%;34.0%;38.5%;1.9%;0.1%;0.1%;0.00%;0.00%;6.86%;57.40%;35.54%;0.20%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;35982107;0;3441;0;542174;0;0;99.97%
io_uring;/dev/nvme0n1;1;100000;100000;0;3;fio-3.19-12-g0f69;run;0;0;24000008;399993;99998;60001;1;29;1.163852;0.310950;2;1851;10.783563;15.452068;1.000000%=7;5.000000%=7;10.000000%=7;20.000000%=8;30.000000%=8;40.000000%=8;50.000000%=8;60.000000%=8;70.000000%=13;80.000000%=14;90.000000%=14;95.000000%=15;99.000000%=16;99.500000%=21;99.900000%=39;99.950000%=43;99.990000%=962;0%=0;0%=0;0%=0;8;1854;11.975258;15.456421;400074;400504;100.000000%;400468.319328;42.324800;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;35.850000%;64.135000%;160;0;0;56.7%;43.0%;0.4%;0.1%;0.1%;0.1%;0.1%;0.00%;0.01%;63.38%;36.02%;0.57%;0.01%;0.00%;0.01%;0.01%;0.01%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;8996798;0;0;0;97922;0;0;99.96%
io_uring;/dev/nvme0n1;1;100000;100000;1;3;fio-3.19-12-g0f69;run;0;0;24000004;399993;99998;60001;1;223;1.136593;0.317979;1;1873;10.686589;15.595379;1.000000%=7;5.000000%=7;10.000000%=7;20.000000%=8;30.000000%=8;40.000000%=8;50.000000%=8;60.000000%=8;70.000000%=13;80.000000%=14;90.000000%=14;95.000000%=15;99.000000%=16;99.500000%=21;99.900000%=39;99.950000%=42;99.990000%=978;0%=0;0%=0;0%=0;8;1875;11.851476;15.600486;400288;400496;100.000000%;400472.285714;24.089221;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;35.763333%;64.221667%;255;0;0;57.4%;42.2%;0.3%;0.1%;0.1%;0.1%;0.1%;0.01%;0.01%;64.94%;34.48%;0.56%;0.01%;0.01%;0.01%;0.01%;0.01%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;8996975;0;0;0;97413;0;0;99.97%
io_uring;/dev/nvme0n1;1;100000;100000;2;3;fio-3.19-12-g0f69;run;0;0;24000008;399993;99998;60001;0;0;0.000000;0.000000;7;60;13.044307;3.401484;1.000000%=9;5.000000%=9;10.000000%=9;20.000000%=9;30.000000%=10;40.000000%=10;50.000000%=11;60.000000%=15;70.000000%=15;80.000000%=16;90.000000%=16;95.000000%=17;99.000000%=17;99.500000%=19;99.900000%=40;99.950000%=43;99.990000%=48;0%=0;0%=0;0%=0;7;60;13.090651;3.400967;400328;400504;100.000000%;400467.193277;38.269623;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;100.001667%;0.000000%;209;0;0;49.7%;50.0%;0.3%;0.0%;0.0%;0.0%;0.0%;0.00%;0.00%;24.74%;74.80%;0.46%;0.01%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;8996792;0;0;0;108524;0;0;99.97%
io_uring;/dev/nvme0n1;1;600000;600000;0;3;fio-3.19-12-g0f69;run;0;0;129248240;2154101;538508;60001;1;260;1.550273;6.057028;128;3810;1899.657031;89.564787;1.000000%=1810;5.000000%=1826;10.000000%=1826;20.000000%=1843;30.000000%=1859;40.000000%=1859;50.000000%=1875;60.000000%=1875;70.000000%=1892;80.000000%=1941;90.000000%=2039;95.000000%=2056;99.000000%=2088;99.500000%=2113;99.900000%=2965;99.950000%=3457;99.990000%=3489;0%=0;0%=0;0%=0;130;3811;1901.237379;91.138846;2130424;2173312;100.000000%;2156748.672269;8691.830122;0;0;0;0;0;0;0.000000;0.000000;0;0;0.000000;0.000000;1.000000%=0;5.000000%=0;10.000000%=0;20.000000%=0;30.000000%=0;40.000000%=0;50.000000%=0;60.000000%=0;70.000000%=0;80.000000%=0;90.000000%=0;95.000000%=0;99.000000%=0;99.500000%=0;99.900000%=0;99.950000%=0;99.990000%=0;0%=0;0%=0;0%=0;0;0;0.000000;0.000000;0;0;0.000000%;0.000000;0.000000;32.830000%;67.166667%;269;0;0;0.1%;0.1%;0.1%;0.1%;0.1%;0.1%;100.0%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.01%;0.01%;0.01%;0.01%;80.87%;19.13%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;nvme0n1;48900205;0;0;0;54472160;0;0;99.98%
